horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
5;200;2;7;35;0.0246;714500;0.1;0;13;14581;2;0;49;5;8;2;22.11;5.58;42;0.31;8.36;1460;7;4;99;0;0.0;0
6;72;2;8;88;0.08839999999999999;579340;0.21;73;7;8777;2;0;66;14;11;6;13.74;3.58;57;0.47;19.33;2115;6;4;5;0;0.0;0
7;69;2;9;41;0.0051;607750;0.07;31;11;8212;2;0;74;5;12;7;56.79;11.75;55;0.32;15.75;1149;14;4;99;0;0.0;0
8;201;2;5;8;0.0526;477011;0.14;74;7;17036;2;1;28;4;9;3;9.35;2.57;138;0.57;4.55;1784;10;4;8;0;0.0;0
9;202;2;5;12;0.025;566300;0.23;75;11;21780;2;1;26;6;3;2;17.62;4.18;139;0.42;10.83;1138;9;4;d;0;0.0;0
10;203;2;8;89;0.0069;576100;0.07;71;7;9932;2;1;58;4;9;9;27.92;6.12;140;0.38;47.90;930;14;4;6;0;0.0;0
11;204;2;6;58;0.0304;637000;0.19;68;7;17694;2;1;36;7;2;4;14.41;3.69;141;0.36;9.83;1915;13;4;7;0;0.0;0
0;205;1;6;65;0.19390000000000002;1640500;0.32;38;11;86342;1;0;19;6;5;3;99.9;99.9;142;0.74;10.47;5380;12;5;s;0;0.0;0
1;3;0;8;46;0.0134;1236400;0.09;22;7;12746;2;1;97;9;12;12;29.64;4.52;3;0.34;30.08;695;3;5;4;0;0.0;0
2;206;0;8;8;0.0725;1029900;0.13;76;6;16883;1;0;61;8;8;7;10.99;3.71;103;0.38;7.81;920;12;5;99;0;0.0;0
3;207;0;6;14;0.2498;1122300;0.23;22;7;26100;2;0;43;10;5;7;3.52;1.66;62;0.51;21.34;1730;3;5;7;0;0.0;0
4;4;0;7;4;0.1634;1167112;0.17;27;8;19451;2;0;60;10;11;4;4.50;1.94;4;0.42;9.28;1760;4;5;5;0;0.0;0
5;6;0;6;6;0.030299999999999997;945512;0.15;22;7;28651;2;1;33;5;11;2;13.87;3.52;6;0.55;16.28;2160;6;5;1;1;13.87;1
6;5;0;6;5;0.05;1237400;0.08;47;7;25253;2;1;49;4;7;12;13.94;3.57;5;0.47;28.19;625;5;5;3;0;0.0;1
7;144;1;6;44;0.129;1567500;0.19;71;7;42364;2;0;37;7;7;3;6.14;2.23;64;0.46;19.39;4400;4;5;2;0;0.0;1
8;208;0;8;90;0.0108;1426700;0.18;50;7;17833;2;1;80;14;10;16;25.10;5.83;143;0.5;10.07;505;2;5;99;0;0.0;0
9;0;0;12;0;0.0040999999999999995;1470000;0.18;22;7;11484;2;0;128;23;22;17;36.28;7.44;0;0.48;56.51;1580;0;5;6;0;0.0;0
